id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,review_bin,high_demand,group,price_original,discount_pct,predicted_high_demand_prob,revenue_proxy
7572637,4398238,Brooklyn,Prospect Heights,40.67505,-73.96711,Entire home/apt,175.0,2,5,1,0,Low,0,control,175,0.0,0.3287262831346169,57.527099548557956
5791540,30046603,Brooklyn,Brooklyn Heights,40.69758,-73.99139,Entire home/apt,190.0,2,2,1,0,Low,0,5%_reduction,200,0.05,0.32720077908779055,62.16814802668021
9137941,4223044,Manhattan,Upper East Side,40.77012,-73.95777,Entire home/apt,180.0,1,0,1,0,,0,10%_reduction,200,0.1,0.26908740570832634,48.43573302749874
8837432,41743945,Manhattan,Hell's Kitchen,40.76206,-73.9937,Entire home/apt,318.75,3,3,2,0,Low,0,15%_reduction,375,0.15,0.2785601395690837,88.79104448764544
22343429,15927874,Manhattan,Greenwich Village,40.72941,-74.00004,Entire home/apt,191.0,3,1,1,0,Low,0,control,191,0.0,0.3139530488311958,59.9650323267584
15422352,62852828,Manhattan,Harlem,40.82415,-73.95283,Private room,190.0,2,0,2,89,,0,5%_reduction,200,0.05,0.6003424689233842,114.065069095443
2070290,10585956,Manhattan,Hell's Kitchen,40.76874,-73.98757,Entire home/apt,539.1,1,0,1,0,,0,10%_reduction,599,0.1,0.19297373649979743,104.0321413470408
21799291,78534291,Manhattan,East Village,40.72202,-73.97909,Entire home/apt,195.5,5,3,1,0,Low,0,15%_reduction,230,0.15,0.2694526495046293,52.67799297815503
12088314,2875590,Brooklyn,Crown Heights,40.67833,-73.9629,Entire home/apt,180.0,3,2,1,0,Low,0,control,180,0.0,0.3098171343075356,55.76708417535641
35543031,4602926,Brooklyn,Clinton Hill,40.69325,-73.96732,Entire home/apt,166.25,2,0,1,6,,0,5%_reduction,175,0.05,0.6137332137988696,102.03314679406206
22019519,160792280,Manhattan,Midtown,40.76583,-73.98087,Entire home/apt,180.0,1,1,2,0,Low,0,10%_reduction,200,0.1,0.26908740570832634,48.43573302749874
